"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"GABRD","FAIL",NA,NA,NA,"GABRD",1
"PRKCZ","OK",0.233469618526669,0.727468121377031,0.00441123667786673,"PRKCZ",0.478571076549494
"FAAP20","OK",0.192110313093948,0.870145992154465,0.00534661373067494,"FAAP20",0.41715451409832
"SKI","OK",0.0195634651388307,2.06284949039749,0.013051756595574,"SKI",0.0676674509486963
"MORN1","OK",0.832921066505582,-0.965772829805963,-0.00636325436951355,"MORN1",0.871484790956198
"RER1","OK",0.000606371422352187,3.23586603841002,0.0206501348342736,"RER1",0.00299605530235866
"PEX10","OK",0.0385911345062881,1.76727449535928,0.0110948067597171,"PEX10",0.119267222616332
"PLCH2","OK",0.116065412898695,1.19488791336532,0.00741133371629387,"PLCH2",0.288082739273675
"PANK4","OK",0.845772615910797,-1.01846975275098,-0.006854721900003,"PANK4",0.880876880478868
"HES5","FAIL",NA,NA,NA,"HES5",1
"AL139246.5","OK",0.163210400546489,0.981348727620396,0.00604453333687663,"AL139246.5",0.371872071771204
"TNFRSF14","OK",0.000319381291704247,3.41459779428832,0.0218055511803757,"TNFRSF14",0.00165688055603055
"AL139246.3","OK",0.225943224734175,0.752273751620471,0.00454474235556456,"AL139246.3",0.467815908142259
"FAM213B","OK",0.0484351072806202,1.6602199405815,0.010422083092646,"FAM213B",0.143932884902122
"MMEL1","OK",0.00346317979221566,2.70036425493154,0.0168238299675383,"MMEL1",0.0147338984299126
"TTC34","OK",0.636620309194916,-0.349439502275585,-0.00237393065032024,"TTC34",0.76234210800323
"PRDM16","OK",1.56233887816584e-87,19.7975597776693,0.0897845302328282,"PRDM16",4.56494235944084e-86
"AL590438.1","FAIL",NA,NA,NA,"AL590438.1",1
"ARHGEF16","OK",0.635243529416648,-0.345773501196128,-0.00237122257966536,"ARHGEF16",0.761806135903555
"AL512413.1","FAIL",NA,NA,NA,"AL512413.1",1
"MEGF6","OK",0.79211328354568,-0.813775744401264,-0.0054112598685415,"MEGF6",0.846231084796891
"TPRG1L","OK",0.639431165219068,-0.356938736658904,-0.00258441467594306,"TPRG1L",0.763317244003377
"WRAP73","OK",0.559391807759995,-0.149427409994424,-0.00124638521956892,"WRAP73",0.749795867700198
"TP73","OK",1.55142004224402e-06,4.66389217252105,0.0294412034470763,"TP73",1.06299404245806e-05
"SMIM1","OK",0.0327030847677374,1.84247178784695,0.0115252102176185,"SMIM1",0.104073929907887
"LRRC47","OK",0.0644293393886049,1.51861799553973,0.00952972944523079,"LRRC47",0.181397579898769
"CEP104","OK",0.165567761903554,0.97182920562198,0.00599489126911649,"CEP104",0.375802850224537
"DFFB","OK",0.320466788108701,0.466393901107356,0.0027226120805517,"DFFB",0.593267930786665
"C1orf174","OK",0.00642224528280188,2.48805212555281,0.0157955278406888,"C1orf174",0.0256351599420792
"LINC01134","OK",0.510567480627599,-0.0264918441478935,-0.000396687670916054,"LINC01134",0.749795867700198
"AL805961.2","FAIL",NA,NA,NA,"AL805961.2",1
"LINC01777","FAIL",NA,NA,NA,"LINC01777",1
"AJAP1","OK",0.53114109039355,-0.0781385792207777,-0.000692822075601841,"AJAP1",0.749795867700198
"Z98259.3","FAIL",NA,NA,NA,"Z98259.3",1
"AL365255.1","FAIL",NA,NA,NA,"AL365255.1",1
"NPHP4","OK",0.648778688738482,-0.382025267806539,-0.00271281640674676,"NPHP4",0.767113667176013
"KCNAB2","OK",0.00658405050940252,2.4791903523617,0.0157506173880637,"KCNAB2",0.0262009341485665
"CHD5","OK",0.512257471246853,-0.0307297597627492,-0.00039796781860499,"CHD5",0.749795867700198
"RPL22","OK",8.06316811625549e-23,9.76363853708489,0.0628045880040981,"RPL22",1.11378970477667e-21
"RNF207","OK",8.94035847884478e-05,3.74721731206948,0.0238708420099828,"RNF207",0.000505320786284607
"ICMT","OK",0.355689518403563,0.370004635096391,0.00210763630564028,"ICMT",0.637129219426333
"LINC00337","OK",0.515524802774946,-0.0389247367329002,-0.000454326334555028,"LINC00337",0.749795867700198
"GPR153","OK",0.628423792761165,-0.327681603358954,-0.00221462254796776,"GPR153",0.759385795836935
"ACOT7","OK",0.255162177796598,0.658332722736768,0.00396792832564989,"ACOT7",0.508877924923132
"HES2","OK",0.563041016185127,-0.158683843842434,-0.00116797854423057,"HES2",0.749795867700198
"ESPN","OK",0.154937243679547,1.01548543206921,0.00619267984978551,"ESPN",0.358725823753725
"TNFRSF25","OK",2.1962236199216e-124,23.6916852827892,0.152939002917671,"TNFRSF25",8.17725679996295e-123
"PLEKHG5","OK",0.72517134628993,-0.598273722192927,-0.00396268437573937,"PLEKHG5",0.805855014419654
"NOL9","OK",0.765604561873377,-0.724447778664834,-0.00495835417108479,"NOL9",0.830653725353083
"TAS1R1","FAIL",NA,NA,NA,"TAS1R1",1
"ZBTB48","OK",0.512675599322746,-0.0317783634897658,-0.000485757545771009,"ZBTB48",0.749795867700198
"KLHL21","OK",0.331218450542075,0.436551143505925,0.00253344449598421,"KLHL21",0.608015639324336
"PHF13","OK",0.624675633242314,-0.317784072116607,-0.00232081750694995,"PHF13",0.757347441988938
"THAP3","OK",0.011930998962315,2.25934395173306,0.0143128184985399,"THAP3",0.0439292636834207
"DNAJC11","OK",0.243830392219416,0.69403416341987,0.00419358323608791,"DNAJC11",0.493240099914399
"CAMTA1","OK",0.0200471307666109,2.05277647075363,0.0129925999317599,"CAMTA1",0.069087119809335
"AL359881.3","FAIL",NA,NA,NA,"AL359881.3",1
"AL359881.2","FAIL",NA,NA,NA,"AL359881.2",1
"AL359881.1","FAIL",NA,NA,NA,"AL359881.1",1
"VAMP3","OK",0.628705303571012,-0.328426256920438,-0.0024026718145818,"VAMP3",0.759513015295072
"PER3","OK",0.318282645261622,0.472506517879538,0.00275020301945908,"PER3",0.590767185716206
"UTS2","OK",3.38280864031498e-07,4.96797359361117,0.0318402272023147,"UTS2",2.45749001897977e-06
"TNFRSF9","OK",0,50.8511053786594,0.328443747168098,"TNFRSF9",0
"PARK7","OK",8.85905900880279e-39,12.9716472590125,0.083614694350102,"PARK7",1.64040084052364e-37
"AL034417.3","OK",0.641316937205754,-0.361981138165978,-0.00245571239732467,"AL034417.3",0.76428513363687
"ERRFI1","OK",0.0111836817575189,2.28407091626396,0.0142250381259196,"ERRFI1",0.0415955749337364
"AL034417.2","OK",0.561571505079432,-0.15495475096116,-0.00109207455190809,"AL034417.2",0.749795867700198
