"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AC131212.1","OK",0.340156651063297,0.412035638062519,0.00128189863705133,"AC131212.1",0.409475418521674
"LRCOL1","OK",0.141823678297941,1.0721618184487,0.00331457335228386,"LRCOL1",0.176625610813231
"P2RX2","OK",0.526893973839247,-0.0674643369329928,-0.000252406268976324,"P2RX2",0.594145667571509
"POLE","OK",4.11102763031947e-35,12.307813494946,0.0441214121269109,"POLE",1.0172415210833e-34
"PXMP2","OK",5.36836612220221e-171,27.8501154937134,0.100103431497786,"PXMP2",2.60747328739323e-170
"PGAM5","OK",1.88742384946667e-11,6.61265607837066,0.0236803169811527,"PGAM5",3.3514860438021e-11
"ANKLE2","OK",4.75231539900199e-109,22.1541937636224,0.0796650006129302,"ANKLE2",1.84487942579389e-108
"GOLGA3","OK",2.74529219915689e-38,12.8846756558106,0.0462823217273176,"GOLGA3",7.00233568539463e-38
"CHFR","OK",1.75160351268664e-16,8.15460577314172,0.0292476811601833,"CHFR",3.41499677653294e-16
"AC127070.3","OK",0.133060769460965,1.11203863563559,0.00379133157954427,"AC127070.3",0.166057355680436
"ZNF605","OK",4.09928305616728e-11,6.49691149307364,0.0232619166934298,"ZNF605",7.22652973624641e-11
"ZNF26","OK",7.03986356005654e-05,3.80676349556066,0.0135843752661864,"ZNF26",0.000104111251258577
"AC073911.1","OK",0.0379937602469864,1.77445741253784,0.00581275877757833,"AC073911.1",0.0493260637200507
"ZNF84","OK",2.470735778493e-12,6.90724757010538,0.0247446710341025,"ZNF84",4.47728917339259e-12
"ZNF140","OK",2.70693335787987e-08,5.43715293463342,0.0194461984516795,"ZNF140",4.45740491251352e-08
"ZNF891","OK",7.90607033621091e-06,4.31705969406249,0.0154098167436654,"ZNF891",1.20870007311639e-05
"ZNF10","OK",0.0961539999043294,1.30378177048306,0.00457037176153024,"ZNF10",0.121345660889726
"ZNF268","OK",2.20727382630084e-05,4.08463856715405,0.0145810862214296,"ZNF268",3.31938412054044e-05
"TPTE2","OK",0.00136063311060716,2.99758649854607,0.0103898780917929,"TPTE2",0.00191161173404883
"MPHOSPH8","OK",2.19539363243975e-301,37.0879709536584,0.133466539270198,"MPHOSPH8",1.49197774752853e-300
"PSPC1","OK",4.76679915007018e-11,6.47416768275267,0.0231987607848543,"PSPC1",8.3905674513603e-11
"ZMYM5","OK",1.09639629167606e-08,5.59605887928975,0.0200365502014566,"ZMYM5",1.82529730187894e-08
"AL355001.2","OK",2.12625054954769e-08,5.48003150367604,0.0195701773639645,"AL355001.2",3.51291252895456e-08
