	log2FoldChange	fdr
GSTP1	-0.715270523066887	1
FASLG	-0.715270523066887	1
VAMP5	-0.715270523066887	1
GALNT1	-0.715270523066887	1
DUSP16	-0.715270523066887	1
TBCD	-0.715270523066887	1
UQCR11	-0.709795393000736	1
MRPS21	-0.707050016261918	1
HDAC1	-0.707050016261918	1
SIPA1	-0.707050016261918	1
ESF1	-0.707050016261918	1
UBTF	-0.707050016261918	1
CDK12	-0.707050016261918	1
CD2	-0.706500313439156	1
PSMB8	-0.702604111230726	1
RALY	-0.698782400278319	1
SNRNP27	-0.698782400278317	1
TOR1AIP1	-0.698782400278317	1
UBE2H	-0.698782400278317	1
RBBP7	-0.698782400278317	1
CALM3	-0.69670807204046	1
CD96	-0.696411495815571	1
CLEC2B	-0.695764208715403	1
EIF3D	-0.694630757007849	1
EEF1B2	-0.690467132066315	1
VAPA	-0.690467132066315	1
AK2	-0.690467132066315	1
PFDN1	-0.690467132066315	1
NUMA1	-0.690467132066315	1
NDUFA10	-0.690467132066315	1
RAB3GAP1	-0.690467132066315	1
VMA21	-0.690467132066315	1
FAM120A	-0.690467132066315	1
SAMD9	-0.686291456095121	1
HSP90AB1	-0.685693943127008	1
YWHAB	-0.685150534690552	1
PEBP1	-0.682103659131689	1
SELENOF	-0.682103659131689	1
ARHGAP4	-0.682103659131689	1
MRPL36	-0.682103659131689	1
H3F3A	-0.679814272180661	1
H2AFV	-0.677903670602402	1
CDKN1B	-0.677903670602402	1
PSMA3	-0.677903670602402	1
CHD2	-0.676500952902312	1
SRSF11	-0.675377795943375	1
CLTA	-0.673691419315487	1
FRYL	-0.673691419315487	1
MRPL4	-0.673691419315487	1
PITPNB	-0.673691419315487	1
KRT86	-0.670876403708434	1
COPE	-0.670071103636791	1
SON	-0.669466833453763	1
MDM4	-0.665229840567291	1
GOLGB1	-0.665229840567291	1
EIF1B	-0.665229840567291	1
TMEM248	-0.665229840567291	1
FIP1L1	-0.665229840567291	1
FOXN3	-0.665229840567291	1
HAGH	-0.665229840567291	1
CLIC1	-0.66268165908489	1
SAMD9L	-0.657666546490823	1
HLA-DMA	-0.656718340711774	1
ESYT1	-0.656718340711774	1
SVIP	-0.656718340711774	1
B2M	-0.656453800325635	1
EMP3	-0.655498302549519	1
NDUFV2	-0.655498302549519	1
SOD1	-0.64938258741043	1
ECH1	-0.64815632720835	1
CDC40	-0.64815632720835	1
SNX9	-0.64815632720835	1
DAXX	-0.64815632720835	1
ENDOD1	-0.64815632720835	1
SEPT6	-0.643856189774725	1
HNRNPA3	-0.64299462209257	1
PPP1R14B	-0.642419957659206	1
C14orf2	-0.64170130507105	1
TXNDC17	-0.64126994162311	1
EIF3F	-0.639543196903641	1
GSDMD	-0.639543196903641	1
CITED2	-0.639543196903641	1
TXNDC15	-0.639543196903641	1
OS9	-0.639543196903641	1
GIMAP2	-0.639543196903641	1
PHF20L1	-0.639543196903641	1
